Name,Runtime,Genre,IMDB,Director,Stars
Slalom,92,Drama,7.1,Charlène Favier,"Noée Abita, Jérémie Renier, Marie Denarnaud, Muriel Combeau"
Treasure Lies,107,Drama,8.7,Brett Varvel,"Cameron Arnett, Brooks Ryan, Dariush Moslemi, April Warren"
Vanguard,107,Action,4.6,Stanley Tong,"Jackie Chan, Yang Yang, Lun Ai, Miya Muqi"
Rapture in Blue,49,"Drama, Thriller",4.3,Ryder Houston,"Bryce Lederer, Sarah Greenfield, Tanner Garmon, Ariana Kelly"
Stardust,109,"Biography, Drama, Music",3.7,Gabriel Range,"Johnny Flynn, Marc Maron, Jena Malone, Derek Moran"
The Lost Scene V: Retribution,52,Action,8.2,Tom Smith,"Tom Smith, Micah Woodward, Chris Mooney, Mark Bollinger"
Jaanu,151,"Drama, Romance",6.9,C. Prem Kumar,"Samantha Ruth Prabhu, Sharwanand, Varsha Bollamma, Gouri Kishan"
Sab Kushal Mangal,132,Romance,4.5,Karan Vishwanath Kashyap,"Akshaye Khanna, Priyaank Sharma, Riva Kishan, Kaushik Satish"
Jora: The Second Chapter,121,"Action, Drama",8.0,Amardeep Singh Gill,"Japji Khaira, Guggu Gill, Mahie Gill, Deep Sidhu"
Shadow in the Cloud,83,"Action, Horror, War",4.6,Roseanne Liang,"Chloë Grace Moretz, Nick Robinson, Beulah Koale, Taylor John Smith"
A Ring for Christmas,88,"Comedy, Romance",5.0,Don E. FauntLeRoy,"Liliana Tandon, Dean Geyer, Charles Hittinger, Lorraine Bracco"
Paper Spiders,109,Drama,7.8,Inon Shampanier,"Peyton List, Stefania LaVie Owen, Lili Taylor, Max Casella"
La dosis,93,"Drama, Thriller",6.3,Martín Kraut,"Carlos Portaluppi, Ignacio Rogers, Lorena Vega, Arturo Bonín"
Wander,94,Thriller,5.3,April Mullen,"Aaron Eckhart, Tommy Lee Jones, Katheryn Winnick, Heather Graham"
Operation Teddybear,65,Drama,8.5,Timo Gilhuis,"Tommy van Lent, Linda Mietes, Jamie Stam, Jan Willem Smit"
The King of Staten Island,136,"Comedy, Drama",7.1,Judd Apatow,"Pete Davidson, Bel Powley, Ricky Velez, Lou Wilson"
Bad Trip,84,Comedy,6.6,Kitao Sakurai,"Eric André, Lil Rel Howery, Tiffany Haddish, Anthony J. James"
Một Nửa Chân Thành,104,"Comedy, Drama, Romance",6.9,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz"
Occurrence at Mills Creek,84,"Drama, Horror",3.5,Don Swanson,"Ava Psoras, Alexa Mechling, Betsy Lynn George, Lynda Marnoni"
Blood Spirit,77,Horror,6.1,Anthony Allin,"Smari Gunn, Ayvianna Snow, Tom Scurr, Carmen Silva"
Combat Wombat,90,"Animation, Family, Fantasy",6.0,Ricard Cussó,"Deborah Mailman, Ed Oxenbould, Frank Woodley, Judith Lucy"
Les apparences,108,"Crime, Drama, Thriller",5.9,Marc Fitoussi,"Karin Viard, Benjamin Biolay, Lucas Englander, Laetitia Dosch"
Petit pays,111,Drama,6.7,Eric Barbier,"Jean-Paul Rouve, Isabelle Kabano, Djibril Vancoppenolle, Dayla De Medina"
Disco Raja,141,"Action, Sci-Fi, Thriller",6.3,Vi Anand,"Ravi Teja, Nabha Natesh, Tanya Hope, Payal Rajput"
Black Beach,110,"Action, Adventure, Drama",6.3,Esteban Crespo,"Raúl Arévalo, Paulina García, Candela Peña, Claude Musungayi"
La lista de los deseos,102,"Comedy, Drama",5.8,Álvaro Díaz Lorenzo,"María León, Victoria Abril, Silvia Alonso, Boré Buika"
Une barque sur l'océan,95,"Drama, Romance",7.2,Arnold de Parscau,"Hari Santika, Dorcas Coppin, Elisza Cahaya, Jean-Pol Brissart"
Das schaurige Haus,100,Family,7.7,Daniel Prochaska,"Inge Maux, Julia Koschitz, Michael Pink, Benno Rosskopf"
What Love Looks Like,88,"Comedy, Drama, Romance",4.8,Alex Magaña,"Tevy Poe, Stephaun Pender, Josh Gilmer, Kate Durocher"
Maayanadhi,125,"Drama, Family",6.1,,"Aadukalam Naren, Venba, Abhi Saravanan, Appukutty"
Street Dancer 3D,146,"Drama, Music",3.6,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Nora Fatehi"
Dream Round,90,"Comedy, Drama, Sport",4.4,Dusty Dukatz,"Michael Saquella, Richard Grieco, Heidi Kaplan, Alexa Lohman"
Açela,70,"Animation, Adventure, Comedy",6.4,Özgür Dogruöz,"Mike Carnes, Nic Ferg, Ashley Mellinger, Yunus Emre Pekcici"
Rose,86,Horror,7.2,Jennifer Sheridan,"Sophie Rundle, Matt Stokoe, Nathan McMullen, Olive Gray"
Prawaas,133,"Drama, Family",7.9,Shashank Udapurkar,"Ashok Saraf, Padmini Kolhapure, Shashank Udapurkar, Vikram Gokhale"
Lost Heart,98,"Comedy, Drama, Mystery",3.6,Jesse Low,"Melissa Anschutz, Don Most, Victoria Jackson, Christine Marie"
Home Sweet Home,84,"Comedy, Drama, Romance",4.6,Juan Mas,"Natasha Bure, Krista Kalmus, Ben Elliott, Juli Erickson"
Darbar,159,"Action, Thriller",6.1,A.R. Murugadoss,"Rajinikanth, Nayanthara, Nivetha Thomas, Sunil Shetty"
The Haunting,70,Horror,5.2,Lee Jones,"Alanna Breault, Rose Bryant, Jeremiah Court, Anna Marie Culp"
Facade,88,Thriller,3.8,Dakota Gamble,"Paul Logan, Gregory Blair, Anthony M. Bertram, Ben Butler"
