Title,Runtime,Genre,Rating,Directors,Stars
 153. Synchronic (2019) ,102,"Drama, Horror, Sci-Fi",6.5,"Justin Benson,Aaron Moorhead","Jamie Dornan,Anthony Mackie,Katie Aselton,Ally Ioannides"
 154. Hope Gap (2019) ,100,"Drama, Romance",6.7,William Nicholson,"Annette Bening,Bill Nighy,Josh O'Connor,Aiysha Hart"
 155. Blackbird (I) (2019) ,97,Drama,6.4,Roger Michell,"Sam Neill,Susan Sarandon,Anson Boon,Kate Winslet"
 156. Harriet (I) (2019) ,125,"Action, Biography, Drama",6.6,Kasi Lemmons,"Cynthia Erivo,Janelle Monáe,Leslie Odom Jr.,Joe Alwyn"
 157. Brightburn (2019) ,90,"Drama, Horror, Mystery",6.1,David Yarovesky,"Elizabeth Banks,David Denman,Jackson A. Dunn,Abraham Clinkscales"
" 158. Endings, Beginnings (2019) ",110,Drama,5.7,Drake Doremus,"Shailene Woodley,Jamie Dornan,Sebastian Stan,Matthew Gray Gubler"
 159. Come to Daddy (2019) ,96,"Comedy, Horror, Mystery",6.0,Ant Timpson,"Elijah Wood,Stephen McHattie,Garfield Wilson,Madeleine Sami"
 160. Savage (II) (2019) ,100,"Crime, Drama",6.4,Sam Kelly,"Jake Ryan,John Tui,Chelsie Preston Crayford,Seth Flynn"
 161. The Silence (II) (2019) ,90,"Drama, Horror, Sci-Fi",5.3,John R. Leonetti,"Stanley Tucci,Kiernan Shipka,Miranda Otto,Kate Trotter"
 162. IO (2019) ,96,"Adventure, Drama, Sci-Fi",4.7,Jonathan Helpert,"Margaret Qualley,Anthony Mackie,Danny Huston,Tom Payne"
 163. Dumbo (2019) ,112,"Adventure, Family, Fantasy",6.3,Tim Burton,"Colin Farrell,Michael Keaton,Danny DeVito,Eva Green"
 164. The Curse of La Llorona (2019) ,93,"Horror, Mystery, Thriller",5.3,Michael Chaves,"Linda Cardellini,Raymond Cruz,Patricia Velasquez,Marisol Ramirez"
 165. The Addams Family (2019) ,86,"Animation, Comedy, Family",5.8,"Greg Tiernan,Conrad Vernon","Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Finn Wolfhard"
 166. Dolemite Is My Name (2019) ,118,"Biography, Comedy, Drama",7.3,Craig Brewer,"Eddie Murphy,Keegan-Michael Key,Mike Epps,Craig Robinson"
 167. Countdown (III) (2019) ,90,"Horror, Thriller",5.4,Justin Dec,"Elizabeth Lail,Jordan Calloway,Talitha Eliana Bateman,Peter Facinelli"
 168. Abominable (2019) ,97,"Animation, Adventure, Comedy",7.0,"Jill Culton,Todd Wilderman","Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor,Joseph Izzo"
